announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,,Prince Vitrified Private Limited,U26933GJ2010PTC059723,Mr. Premraj Ramratan Laddha,2023-11-10,8968085.0,2023-11-08,-608
Issue of Auction Notice,,MTM TRADING PRIVATE LIMITED,U51100KA1994PTC016076,Mr. Joby Chacko,2023-11-18,16774623.0,2023-11-16,-600
Issue of Auction Notice,,Sanghavi Exports International Pvt Ltd,U36911MH2007PTC170013,Mr. Shailesh Bhalchandran Desai,2023-11-08,17435000.0,2023-11-06,-610
Issue of Auction Notice,,R.S. MOTORS PRIVATE LIMITED,U34300RJ1996PTC012935,Jai Prakash Rawat,2023-11-01,39254320.0,2023-10-30,-617
Issue of Auction Notice,,Rajprtim Agencies Private Limited,U51109WB2003PTC096541,Mr. Pratim Bayal,2023-11-16,23661627.5,2023-11-11,-605
Issue of Auction Notice,,VIJAI SPINNERS (RJPM )PRIVATE LIMITED,U17125TN2013PTC092173,Mr. Arumugam Arumugam,2023-10-31,105300000.0,2023-10-30,-617
Issue of Auction Notice,,SHREE SHANKAR SAW MILL PRIVATE LIMITED,U20101WB2002PTC094455,Neeraj Kumar Sureka,2023-11-17,13280500.0,2023-11-14,-602
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2023-11-07,180000000.0,2023-11-04,-612
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2023-11-07,72900000.0,2023-11-04,-612
Issue of Auction Notice,,Barcley Enterprises Limited,L01132WB1983PLC035629,Mr. Jai Narayan Gupta,2023-11-04,19050000.0,2023-11-02,-614
Issue of Auction Notice,,RNM Infra Private Limited,U45400WB2011PTC156973,Mr. Kanakabha Ray,2023-11-04,4700000.0,2023-11-02,-614
Issue of Auction Notice,2023-12-10,VISA RESOURCES INDIA LIMITED,U52110WB2006PLC111091,Mr. Kapilendra Swain,2023-11-04,105480000.0,2023-11-02,-614
Issue of Auction Notice,2023-12-10,Mahakal Agro Storage And Processing Unit Private Limited,U63022WB2007PTC115018,Mr. Rakesh Kumar Agarwal,2023-11-07,60000000.0,2023-11-04,-612
Issue of Auction Notice,2023-12-10,MAQDOOM MOGHNY ENTERPRISES PRIVATE LIMITED,U74900TG2011PTC077682,Mr. Sreedhar Nukala,2023-10-30,2146500.0,2023-10-28,-619
Issue of Auction Notice,2023-12-10,Sembmarine Kakinada Limited,U74900AP2009PLC104176,Mr. Vedagiri Venkata Krsihnamurthy,2023-11-06,94644000.0,2023-11-02,-614
Issue of Auction Notice,2023-12-10,Cox & Kings Limited,L63040MH1939PLC011352,Mr. Ashutosh Agarwala,2023-11-08,449030000.0,2023-11-06,-610
Issue of Auction Notice,2023-12-10,Raghukul Cottex And Processing Private Limited,U17115GJ2009PTC058873,Mr. Shalabh Kumar Daga,2023-11-08,25000000.0,2023-11-06,-610
Issue of Auction Notice,2023-11-10,Shree Ram Saw Mill Private Limited,U51909WB1997PTC085985,Mr. Kanchan Dutta,2023-11-10,611590.0,2023-11-07,-609
Issue of Auction Notice,2023-11-10,M. K PRINTECH PRIVATE LIMITED,U22100DL2011PTC225489,Mr. Anish Kumar Sanghi,2023-11-10,629412.0,2023-11-08,-608
Issue of Auction Notice,2023-11-10,DYNAMIC HATCHERIES PRIVATE LIMITED,U05000WB2011PTC161169,Mr. Tarun Kumar Ray,2023-11-03,1800000.0,2023-11-01,-615
Issue of Auction Notice,2023-11-10,M. K PRINTECH PRIVATE LIMITED,U22100DL2011PTC225489,Mr. Anish Kumar Sanghi,2023-11-10,434388.0,2023-11-08,-608
Issue of Auction Notice,2023-11-10,PROSTAR TEXTILE MILL PRIVATE LIMITED,U18101TZ2015PTC021917,Mr. Prabhu S,2023-11-13,130901000.0,2023-11-10,-606
Issue of Auction Notice,2023-10-10,Supreme Coated Board Mills Private Limited,U21022TN2003PTC051112,Mrs. Raja Lakshmi Vardarajan,2023-11-04,5600000.0,2023-10-31,-616
Issue of Auction Notice,2023-10-10,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2023-11-10,1037900000.0,2023-10-26,-621
Issue of Auction Notice,2023-10-10,Power Televentures Private Limited,U51395MP2005PTC017738,Mr. Shikhar Chand Jain,2023-10-31,9000000.0,2023-10-27,-620
Issue of Auction Notice,2023-10-10,Madhur Nourishment Products LLP,AAF6086,Mr. Prashant Jain,2023-11-10,38292448.0,2023-11-06,-610
Issue of Auction Notice,2023-10-10,Ultimo Fabrics Private Limited,U74110MH2015PTC269395,Ms. Mrudula Cletus Brodie,2023-10-23,42500000.0,2023-10-21,-626
Issue of Auction Notice,2023-10-10,NDT Trade House Private Limited,U74900HR2011PTC043769,Mr. Arun Gajwani,2023-11-02,15840000.0,2023-10-31,-616
Issue of Auction Notice,2023-09-10,UB ENGINEERING LIMITED,L32109MH1970PLC014509,Mr. Sanjeev Maheshwari,2023-10-23,100000.0,2023-10-22,-625
Issue of Auction Notice,2023-09-10,Vikram Structures Private Limited,U45200KA2008PTC046249,Mr. Surender Devasani,2023-11-12,177800000.0,2023-11-10,-606
Issue of Auction Notice,2023-09-10,Explo Media Private limited,U74300DL2002PTC117725,Mr. Rakesh Takyar,2023-11-09,28000000.0,2023-11-06,-610
Issue of Auction Notice,2023-09-10,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2023-11-09,2810000000.0,2023-10-25,-622
Issue of Auction Notice,2023-07-10,PERFECT INTERNATIONAL FABRICATORS PRIVATE LIMITED,U74992TN2006PTC061625,Ms. Sripriya Kumar,2023-10-26,881734.0,2023-10-21,-626
Issue of Auction Notice,2023-07-10,C and C Construction Limited,L45201DL1996PLC080401,Mr. Navneet Kumar Gupta,2023-11-03,1430000000.0,2023-10-21,-626
Issue of Auction Notice,2023-07-10,Drishti India Limited,U74899DL1994PLC060496,Priyanka Chouhan,2023-11-04,549215200.0,2023-11-01,-615
Issue of Auction Notice,2023-06-10,H.L. TECH FABRICS LIMITED,U72900DL2008PLC182983,Mr. Vijender Sharma,2023-11-02,28834000.0,2023-10-31,-616
Issue of Auction Notice,2023-06-10,Coastal Projects Limited,U45203OR1995PLC003982,Mr. Ravi Sankar Devarakonda,2023-10-18,1840000000.0,2023-10-10,-637
Issue of Auction Notice,2023-06-10,ANURAG MULTIPURPOSE COLDSTORAGE PRIVATE LIMITED,U74900WB2013PTC195337,Ms. Sneh Maheswari,2023-10-30,8911835.0,2023-10-28,-619
Issue of Auction Notice,2023-06-10,"Castings Dynamics Limited (Formerly, Indsur Global Ltd)",U40100MH1994PLC080707,Mr. Manish Sukhani,2023-11-08,307712000.0,2023-11-06,-610
Issue of Auction Notice,2023-06-10,"Castings Dynamics Limited (Formerly, Indsur Global Ltd)",U40100MH1994PLC080707,Mr. Manish Sukhani,2023-11-08,270360500.0,2023-11-06,-610
Issue of Auction Notice,2023-06-10,"Castings Dynamics Limited (Formerly, Indsur Global Ltd)",U40100MH1994PLC080707,Mr. Manish Sukhani,2023-11-08,37351500.0,2023-11-06,-610
Issue of Auction Notice,2023-06-10,CITY TILES LIMITED,U26941GJ2002PLC041142,Mr. Ravi Kapoor,2023-11-06,102500000.0,2023-11-03,-613
Issue of Auction Notice,2023-06-10,DEX-VIN POLYMERS PRIVATE LIMITED,U17120MH1990PTC057006,Mr. Anish Gupta,2023-10-25,6368164.0,2023-10-23,-624
Issue of Auction Notice,2023-06-10,Gujarat NRE Coke Limited,L51909WB1986PLC040098,Mr. Sumit Binani,2023-11-09,507900000.0,2023-11-07,-609
Corrigendum,2023-05-10,TOPKNIT PROCESSING MILL PRIVATE LIMITED,U17120TZ2011PTC017372,Mr. A R Ramasubramania Raja,2023-10-25,101498181.0,2023-10-19,-628
Issue of Auction Notice,2023-05-10,PARIVARTAN BUILDTECH PRIVATE LIMITED,U45204DL2013PTC260321,Ms. Deepika Bhugra Prasad,2023-10-30,11533000.0,2023-10-27,-620
Corrigendum,2023-05-10,LANCO VIDARBHA THERMAL POWER LIMITED,U40100TG2005PLC045445,Mr. Vijay Kumar Garg,2023-10-30,3676200000.0,2023-10-27,-620
Issue of Auction Notice,2023-05-10,DEX-VIN POLYMERS PRIVATE LIMITED,U17120MH1990PTC057006,Mr. Anish Gupta,2023-10-25,6368164.0,2023-10-23,-624
Issue of Auction Notice,2023-04-10,Ramanand Steel Limited,U27106MH1999PLC119531,Mr. Dushyant C Dave,2023-11-06,51943441.0,2023-11-04,-612
Issue of Auction Notice,2023-04-10,Hindustan Paper Corporation Limited,U74899DL1970GOI005301,Mr. Kuldeep Verma,2023-11-07,23085000.0,2023-11-04,-612
Issue of Auction Notice,2023-04-10,HINDUSTHAN SMALL TOOLS PVT LTD,U22219WB1955PTC022547,Mr. Kuldeep Verma,2023-11-07,27626000.0,2023-11-04,-612
Issue of Auction Notice,2023-04-10,Reliable Finance Corpn Private Limited,U74899DL1956PTC002640,Mr. Satyendra Sharma,2023-10-30,258929865.0,2023-10-28,-619
Issue of Auction Notice,2023-04-10,JOTESRIRAM HIMGHAR PRIVATE LIMITED,U01403WB2013PTC195017,Mr. Santanu Bhattacharjee,2023-10-18,38500000.0,2023-10-17,-630
Issue of Auction Notice,2023-04-10,Abhinav Steels And Power Limited,U74899DL1987PLC029384,Mr. Debashis Nanda,2023-10-29,617719595.0,2023-10-27,-620
Issue of Auction Notice,2023-04-10,Shamken Multifab Limited,L17123UP1986PLC026886,Mr. Sanjay Gupta,2023-10-27,216200000.0,2023-10-25,-622
Issue of Auction Notice,2023-04-10,H & V ENGINEERING AND CONSTRUCTION PRIVATE LIMITED,U45400MH2012PTC230848,Mr. Anish Gupta,2023-10-25,16939846.0,2023-10-23,-624
Issue of Auction Notice,2023-03-10,Worldstar Fabrics LLP,AAE7573,Mr. Vijay Pitambar Lulla,2023-10-14,56000000.0,2023-10-13,-634
Issue of Auction Notice,2023-03-10,Virgo Home Deziner Private Limited,U52609MH2010PTC241562,Mr. Vijay Pitambar Lulla,2023-10-14,1313000.0,2023-10-13,-634
Issue of Auction Notice,2023-03-10,Shrenuj and Company Limited,L99999MH1982PLC026903,Mr. Brijendra Kumar Mishra,2023-10-31,42441000.0,2023-10-27,-620
Issue of Auction Notice,2023-03-10,Shrenuj and Company Limited,L99999MH1982PLC026903,Mr. Brijendra Kumar Mishra,2023-10-31,121748000.0,2023-10-27,-620
Issue of Auction Notice,2023-03-10,Shrenuj and Company Limited,L99999MH1982PLC026903,Mr. Brijendra Kumar Mishra,2023-10-31,40726000.0,2023-10-27,-620
Issue of Auction Notice,2023-03-10,LANCO VIDARBHA THERMAL POWER LIMITED,U40100TG2005PLC045445,Mr. Vijay Kumar Garg,2023-10-30,3676200000.0,2023-10-27,-620
Issue of Auction Notice,2023-03-10,Cantronics Office Equipment Pvt Ltd,U32109MH1994PTC084138,bharati manoj daga,2023-10-04,3112701.0,2023-10-03,-644
Issue of Auction Notice,2023-03-10,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2023-11-02,306897520.0,2023-10-30,-617
Issue of Auction Notice,2023-03-10,Easun Reyrolle Limited,L31900TN1974PLC006695,Mr. Mahalingam Suresh Kumar,2023-10-30,255700000.0,2023-10-27,-620
Issue of Auction Notice,2023-02-10,G S OILS LIMITED,U15143TG1997PLC028321,Mr. Gonugunta Murali,2023-11-03,250000000.0,2023-10-31,-616
Issue of Auction Notice,2023-02-10,Enestee Engineering Ltd.,U74210MH2005PLC151952,Mr. Atul Rajwadkar,2023-10-21,100000.0,2023-10-19,-628
Corrigendum,2023-01-10,Rudrani Health Care Services Limited,U85100MH2008PLC188222,Mr. Sachin Shrinivas Bhattad,2023-10-06,153492375.0,2023-10-03,-644
Issue of Auction Notice,2023-01-10,Sharma Kalypso Private Limited,U45400DL2009PTC189270,Ms. Reshma Mittal,2023-10-17,14600000.0,2023-10-13,-634
Issue of Auction Notice,,Kanakadhara Ventures Private Limited,U70102TG2005PTC047611,Mr. Chillale Rajesh,2023-10-30,60000000.0,2023-10-26,-621
Issue of Auction Notice,,SNNEHA NATURAL WORLD PRIVATE LIMITED,U74999MH2008PTC187325,Mr. Ravindra Chaturvedi,2023-11-02,82800000.0,2023-10-31,-616
Issue of Auction Notice,,VIJ AGRO-EXPORTS PRIVATE LIMITED,U15312PB1999PTC022384,Mr. Rajender Kumar Jain,2023-10-25,40000000.0,2023-10-23,-624
Issue of Auction Notice,,Pandhari Milk Private Limited,U74999PN2014PTC151510,Mr. Prashant Jain,2023-10-30,219531060.0,2023-10-28,-619
Issue of Auction Notice,,SAGAR AUTOTECH PRIVATE LIMITED,U50500MP2009PTC022313,Mr. Keyur Jagdishbhai Shah,2023-10-28,1011861.97,2023-10-26,-621
Issue of Auction Notice,,BEVCON WAYORS PRIVATE LIMITED,U29210TG1994PTC018656,Mr. Venkat Narsinga Rao Kalvakota,2023-10-30,442319000.0,2023-10-27,-620
Issue of Auction Notice,,SV SVS PROJECTS PRIVATE LIMITED,U74999TG2005PTC045773,GOLLA RAMAKANTHA RAO,2023-10-23,365000000.0,2023-10-21,-626
Issue of Auction Notice,,Aditya Prints Private Limited,U17299GJ2007PTC050363,Mr. Sunil Kumar Kabra,2023-10-27,6000000.0,2023-10-25,-622
Issue of Auction Notice,,GM AGRO ALLIED PRIVATE LIMITED,U01403WB2012PTC173737,Mr. Sachin Gopal Jathar,2023-10-31,10800000.0,2023-10-29,-618
Issue of Auction Notice,,Ashapura Intimates Fashion Limited,L17299MH2006PLC163133,Mr. Bhavesh Mansukhbhai Rathod,2023-10-31,214705830.0,2023-10-29,-618
Issue of Auction Notice,,Oren Hydrocarbons Private Limited,U73100TN1990PTC019419,Mr. Radhakrishnan Dharmarajan,2023-10-23,900000000.0,2023-10-21,-626
Issue of Auction Notice,,SPARK GREEN ENERGY (AHMEDNAGAR) PRIVATE LIMITED,U40100PN2003PTC139688,Mr. Sanjay Gupta,2023-10-21,428000000.0,2023-10-19,-628
Issue of Auction Notice,,VIRTUE INFRA AND ENTERTAINMENT PRIVATE LIMITED,U74999MH2010PTC205767,Ms. Anagha Anasingaraju,2023-10-26,210572122.0,2023-10-23,-624
Issue of Auction Notice,,GOODDAY VENTURES INDIA PVT LTD,U29190MH1992PTC065241,Mr. Prashant Jain,2023-10-30,52912500.0,2023-10-28,-619
Issue of Auction Notice,,Yamuna Infradevelopers Private Limited,U70200DL2012PTC233903,Ms. Rita Gupta,2023-10-20,7950000.0,2023-10-17,-630
Issue of Auction Notice,,RAIHAN HEALTHCARE PRIVATE LIMITED,U85194KL2013PTC035127,Mr. Mahalingam Suresh Kumar,2023-10-25,462510000.0,2023-10-23,-624
Issue of Auction Notice,,NAKODA LIMITED,L17111GJ1984PLC045995,Ravindra Kumar Goyal,2023-10-24,2621828000.0,2023-10-21,-626
Issue of Auction Notice,,TIRUPUR PLAZA HOTEL PRIVATE LIMITED,U55101TZ2006PTC012584,Mr. A R Ramasubramania Raja,2023-10-20,110000000.0,2023-10-17,-630
Issue of Auction Notice,,TOPKNIT PROCESSING MILL PRIVATE LIMITED,U17120TZ2011PTC017372,Mr. A R Ramasubramania Raja,2023-10-25,101498181.0,2023-10-19,-628
Issue of Auction Notice,,PROGRESS CULTIVATION LIMITED,U01400WB2009PLC134240,Mr. Pankaj Kumar Kedia,2023-10-19,16000000.0,2023-10-16,-631
Issue of Auction Notice,,TOPSGRUP SERVICES AND SOLUTIONS LIMITED,U74920MH1982PLC027283,Mr. Anshul Gupta,2023-10-27,36762000.0,2023-10-26,-621
Issue of Auction Notice,,Sab Global Entertainment Media Private Limited,U22219MH2013PTC241296,Mukesh Verma,2023-10-18,0.0,2023-10-09,-638
Issue of Auction Notice,,JPM Exports Private Limited,U17120WB2009PTC137865,Mr. Avishek Gupta,2023-10-26,3020543.0,2023-10-20,-627
Issue of Auction Notice,,ABG SHIPYARD LTD,L61200GJ1985PLC007730,Mr. Sanjay Gupta,2023-10-13,910000.0,2023-10-11,-636
Issue of Auction Notice,,TURNING POINT ESTATES PRIVATE LIMITED,U70100MH2006PTC184784,Namrata Amol Randeri,2023-10-27,810000000.0,2023-10-25,-622
Issue of Auction Notice,,Rajmangal Milk & Agro Foods Pvt Ltd,U15200PN2011PTC140163,Mr. Ravi Prakash Ganti,2023-10-21,20070000.0,2023-10-18,-629
Issue of Auction Notice,,J.M.L Marketings Private Limited,U15490UP2002PTC026613,Madan Mohan Dhupar,2023-10-20,39331514.0,2023-10-17,-630
Issue of Auction Notice,,J.M.L Marketings Private Limited,U15490UP2002PTC026613,Madan Mohan Dhupar,2023-10-20,17321787.0,2023-10-05,-642
Issue of Auction Notice,,SARGAM BUILDERS PVT LTD,U45201KL1997PTC011565,Mr. Jasin Jose,2023-10-26,48557718.0,2023-10-21,-626
Issue of Auction Notice,,Reliable Paper (India) Limited,U21011MH1999PLC120613,Mr. Bijendra Kumar Jha,2023-10-23,45628723.0,2023-10-19,-628
Issue of Auction Notice,,Predicate Consultants Private Limited,U93000WB2014PTC202244,RITESH AGARWAL,2023-10-13,476500000.0,2023-10-11,-636
Issue of Auction Notice,,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2023-10-23,150400000.0,2023-10-20,-627
Issue of Auction Notice,,HVR Projects Private Limited,U70102WB2012PTC189246,Mr. Sabir Kanti Mazumder,2023-10-26,120586090.0,2023-10-23,-624
Addendum,,LANCO VIDARBHA THERMAL POWER LIMITED,U40100TG2005PLC045445,Mr. Vijay Kumar Garg,2023-10-25,31114990.0,2023-10-23,-624
Issue of Auction Notice,,Oneworld Creations Private Limited,U74999MH2012PTC230339,Ms. Jovita Reema Mathias,2023-10-25,24426030.0,2023-10-23,-624
Issue of Auction Notice,,RAMA KRISHNA KNITTERS PRIVATE LIMITED,U17301PB2007PTC030900,Mr. Rajender Kumar Jain,2023-10-20,87649804.0,2023-10-18,-629
Issue of Auction Notice,,R. K. CONSTRO PROJECTS PRIVATE LIMITED,U45309MH2007PTC174461,Mrs. Neeraja Kartik,2023-10-13,27707300.0,2023-10-10,-637
Issue of Auction Notice,,VISA RESOURCES INDIA LIMITED,U52110WB2006PLC111091,Mr. Kapilendra Swain,2023-10-03,127640000.0,2023-10-01,-646
Issue of Auction Notice,,Jot Impex Private Limited,U18101DL1998PTC091759,Mr. Akhilesh Kumar Gupta,2023-10-23,7500000.0,2023-10-20,-627
Issue of Auction Notice,,Jot Impex Private Limited,U18101DL1998PTC091759,Mr. Akhilesh Kumar Gupta,2023-10-23,7100000.0,2023-10-20,-627
Issue of Auction Notice,,Firestar Diamond International Private Limited,U51909MH2006PTC164429,Mr. Santanu T Ray,2023-10-26,482211220.0,2023-10-24,-623
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2023-10-16,81000000.0,2023-10-13,-634
Issue of Auction Notice,,BIL Infratech Limited,U45400WB2010PLC151807,Mr. Subodh Kumar Agrawal,2023-10-16,200000000.0,2023-10-13,-634
Issue of Auction Notice,,SORT INDIA ENVIRO SOLUTIONS LIMITED,U90000GJ2010PLC059257,Mr. Sapan Mohan Garg,2023-10-20,8800000.0,2023-10-17,-630
Issue of Auction Notice,,VASTU LAND REALTORS PRIVATE LIMITED,U45400MH2008PTC180113,Mr. Srigini Rajat Naidu,2023-10-21,28444606.0,2023-10-16,-631
Issue of Auction Notice,,Coastal Projects Limited,U45203OR1995PLC003982,Mr. Ravi Sankar Devarakonda,2023-10-11,1840000000.0,2023-10-03,-644
Issue of Auction Notice,,SALELINK ECOM PRIVATE LIMITED,U74999MH2016PTC282578,Mr.Kamal Kishor Gurnani,2023-10-19,4944000.0,2023-10-16,-631
Issue of Auction Notice,,VISA RESOURCES INDIA LIMITED,U52110WB2006PLC111091,Mr. Kapilendra Swain,2023-10-18,115980000.0,2023-10-16,-631
Issue of Auction Notice,,PSL LIMITED,L67120DD1987PLC002395,Nitin Jain,2023-10-25,910000000.0,2023-10-23,-624
Issue of Auction Notice,,M N Horological Industries Private Limited,U33309TN2011PTC079981,Mr. Lingumgunta Venkata Shyam Sundar,2023-10-19,414359.0,2023-10-17,-630
Issue of Auction Notice,,SPACEVISION IMPEX PRIVATE LIMITED,U23209DL2004PTC125911,Mr. Rakesh Prasad Khandelwal,2023-10-20,8000000.0,2023-10-18,-629
Issue of Auction Notice,,SPACEVISION IMPEX PRIVATE LIMITED,U23209DL2004PTC125911,Mr. Rakesh Prasad Khandelwal,2023-10-20,12150000.0,2023-10-18,-629
Issue of Auction Notice,,SHREE GAJANAN AGRO FARMS PRIVATE LIMITED,U01122PN2004PTC020006,Mr.Kamal Kishor Gurnani,2023-10-19,59924000.0,2023-10-17,-630
Issue of Auction Notice,,RNM Infra Private Limited,U45400WB2011PTC156973,Mr. Kanakabha Ray,2023-10-11,5175000.0,2023-10-09,-638
Issue of Auction Notice,,JKS The Banyaan Private Limited,U45309PY2016PTC008097,Mrs. Raja Lakshmi Vardarajan,2023-10-18,121500000.0,2023-10-14,-633
Issue of Auction Notice,,Swiss Ribbons Private Limited,U17119GJ2003PTC042006,Mr. George Samuel,2023-10-18,21300000.0,2023-10-16,-631
Issue of Auction Notice,,K.S. Oils Limited,L15141MP1985PLC003171,Mr. Kuldeep Verma,2023-10-20,667900000.0,2023-10-17,-630
Issue of Auction Notice,,Barcley Enterprises Limited,L01132WB1983PLC035629,Mr. Jai Narayan Gupta,2023-10-11,211000000.0,2023-10-10,-637
Issue of Auction Notice,,SRI VENKAT RAM SPINNERS PRIVATE LIMITED,U17111TN1992PTC023951,Mr. Mahalingam Suresh Kumar,2023-10-13,254180000.0,2023-10-11,-636
Issue of Auction Notice,,BUTTA INFRASTRUCTURE PRIVATE LIMITED,U45309TG2017PTC114221,Mr. Gonugunta Murali,2023-10-19,1170000000.0,2023-10-16,-631
Issue of Auction Notice,,NEEMSAR VYAPAAR PRIVATE LIMITED,U51909DL2019PTC354268,Mr. Mohan Lal Jain,2023-10-20,2002000.0,2023-10-17,-630
Issue of Auction Notice,,RAMGARH TRADELINKS PRIVATE LIMITED,U51909DL2019PTC354413,Mr. Mohan Lal Jain,2023-10-20,22502000.0,2023-10-17,-630
Issue of Auction Notice,,VIDHARVA TRADING PRIVATE LIMITED,U51909DL2019PTC354643,Mr. Mohan Lal Jain,2023-10-20,71512000.0,2023-10-17,-630
Issue of Auction Notice,,Pitambara Business Promotions Private Limited,U51909DL2019PTC354412,Mr. Mohan Lal Jain,2023-10-20,10002000.0,2023-10-17,-630
Issue of Auction Notice,,Saber Papers Limited,U21012PB2007PLC031416,Mr. Vikram Bajaj,2023-10-16,8967000.0,2023-10-14,-633
Issue of Auction Notice,,Saber Paper Boards Private Limited,U21015PB1996PTC019227,Mr. Vikram Bajaj,2023-10-16,105152000.0,2023-10-14,-633
Issue of Auction Notice,,Saber Paper Boards Private Limited,U21015PB1996PTC019227,Mr. Vikram Bajaj,2023-10-16,87115000.0,2023-10-14,-633
Issue of Auction Notice,,Saber Paper Boards Private Limited,U21015PB1996PTC019227,Mr. Vikram Bajaj,2023-10-16,18037000.0,2023-10-14,-633
Issue of Auction Notice,,Bhatia Global Trading Limited,U60200MP1991PLC006626,Mr. Prawincharan Prafulcharan Dwary,2023-10-13,75000.0,2023-10-10,-637
Issue of Auction Notice,,Unity Infraprojects Limited,L99999MH1997PLC107153,Mr. Alok Kailash Saksena,2023-10-19,10164078.0,2023-10-16,-631
Issue of Auction Notice,,K.S. Oils Limited,L15141MP1985PLC003171,Mr. Kuldeep Verma,2023-10-19,2390000000.0,2023-10-16,-631
Issue of Auction Notice,,K.S. Oils Limited,L15141MP1985PLC003171,Mr. Kuldeep Verma,2023-10-19,2516700000.0,2023-10-16,-631
Issue of Auction Notice,,GUJARAT METALLIC COAL & COKE LIMITED,L24298WB1992PLC054815,Sanjay Kumar Poddar,2023-10-20,15851270.0,2023-10-16,-631
Issue of Auction Notice,,R.S. MOTORS PRIVATE LIMITED,U34300RJ1996PTC012935,Jai Prakash Rawat,2023-10-04,39254320.0,2023-10-02,-645
Issue of Auction Notice,,GUWAHATI CONSTRUCTIONS PRIVATE LIMITED,U45201AS2008PTC008661,Mr. Purshotam Gaggar,2023-10-11,60224575.0,2023-10-09,-638
Issue of Auction Notice,,GREENWORLD INTERNATIONAL PRIVATE LIMITED,U37100DL2012PTC243731,Mr. Sunil Kumar Gupta,2023-10-20,22239408.0,2023-10-17,-630
Issue of Auction Notice,,VIJAI SPINNERS (RJPM )PRIVATE LIMITED,U17125TN2013PTC092173,Mr. Arumugam Arumugam,2023-10-06,117000000.0,2023-10-04,-643
Issue of Auction Notice,,SAHELI EXPORTS PRIVATE LIMITED,U40102TN2004PTC053614,Mr. Mahalingam Suresh Kumar,2023-10-16,18420000.0,2023-10-13,-634
Issue of Auction Notice,,SREE BHADRA PARKS AND RESORTS LIMITED,U55102KL1998PLC012533,Mr. K. Parameswaran Nair,2023-10-12,25596000.0,2023-10-09,-638
Issue of Auction Notice,,EAST COAST ENERGY PRIVATE LIMITED,U40105TG2007PTC058753,Mr. Devendra Prasad,2023-10-13,211000000.0,2023-09-28,-649
Issue of Auction Notice,,Bush Tea Co Pvt. Ltd.,U15491WB1972PTC028384,Mr. Santanu Brahma,2023-10-12,830000.0,2023-09-29,-648
Issue of Auction Notice,,Sanghavi Exports International Pvt Ltd,U36911MH2007PTC170013,Mr. Shailesh Bhalchandran Desai,2023-10-16,19372000.0,2023-10-14,-633
Issue of Auction Notice,,Genrx Pharmaceuticals Private Limited,U33119MH2009PTC198122,Mr. Rajesh Kumar Mittal,2023-10-11,200000000.0,2023-10-09,-638
Issue of Auction Notice,,Corporate Power Limited,U27106WB2006PLC150110,Mr. Pankaj Dhanuka,2023-10-14,3616175000.0,2023-10-12,-635
Issue of Auction Notice,,Gian Chand and Sons Private Limited,U18100PB1988PTC008266,Mr. Rajeev Bhambri,2023-10-13,4800000.0,2023-10-10,-637
Issue of Auction Notice,,MUKTAR MINERALS PRIVATE LIMITED,U13100GA2004PTC003585,Mr. Anup Kumar Singh,2023-10-17,281610000.0,2023-10-14,-633
Issue of Auction Notice,,Gajanan Solvex Limited,U15147MH2010PLC208730,Mr. Ram Singh Setia,2023-10-09,121888000.0,2023-10-06,-641
Issue of Auction Notice,,Rubber Wood India Private Limited,U25199KL1998PTC012089,Mr. Renahan Vamakesan,2023-10-12,37000000.0,2023-10-09,-638
Issue of Auction Notice,,REAL VIDEO IMPACT PRIVATE LIMITED,U92113DL2005PTC140868,Mr. Jasin Jose,2023-10-16,9714500.0,2023-10-12,-635
Issue of Auction Notice,,Radiance Properties (India) Private Limited,U70102MH2007PTC169926,Mr. Anuj Bajpai,2023-10-12,15900000.0,2023-10-10,-637
Issue of Auction Notice,,Radiance Properties (India) Private Limited,U70102MH2007PTC169926,Mr. Anuj Bajpai,2023-10-12,9700000.0,2023-10-10,-637
Issue of Auction Notice,,Drishti India Limited,U74899DL1994PLC060496,Priyanka Chouhan,2023-10-16,686519000.0,2023-10-13,-634
Issue of Auction Notice,,MUKTAR MINERALS PRIVATE LIMITED,U13100GA2004PTC003585,Mr. Anup Kumar Singh,2023-10-17,281610000.0,2023-10-04,-643
Issue of Auction Notice,,PHADNIS INFRASTRUCTURE LIMITED,U45209PN2005PLC021262,Mr. Milind Kasodekar,2023-10-04,45874800.0,2023-09-26,-651
Issue of Auction Notice,,IND-BARATH THERMAL POWER LIMITED,U40101TG2007PLC052232,Mr. Deepak Maini,2023-10-12,15495098778.0,2023-10-10,-637
