announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,,TECPRO INFRA PROJECTS LIMITED,U74210DL1981PLC234183,Ms. Satyadevi A,2025-05-09,32377500.0,2025-05-07,-62
Issue of Auction Notice,,PME Infratech Private Limited,U32100MH1987PTC045671,Rahul Jindal,2025-05-09,2222359.0,2025-05-08,-61
Issue of Auction Notice,,BALAJI FIBER REINFORCE PRIVATE LIMITED,U25206GJ2007PTC050407,Mr. Ashish Anantray Shah,2025-05-10,153000000.0,2025-05-08,-61
Issue of Auction Notice,,H.V.SYNTHETICS PRIVATE LIMITED,U17121GJ2006PTC048378,Mr. Pinakin Surendra Shah,2025-05-14,100000.0,2025-05-12,-57
Issue of Auction Notice,,Bilpower Limited,L51420MH1989PLC053772,Mr. Gonugunta Madhusudhan Rao,2025-05-26,137961400.0,2025-05-23,-46
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,3419200000.0,2025-04-17,-82
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,1759000000.0,2025-04-17,-82
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,705000000.0,2025-04-18,-81
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,113000000.0,2025-04-18,-81
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,8900000.0,2025-04-18,-81
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,2900000.0,2025-04-18,-81
Addendum,,Punj Lloyd Limited,L74899DL1988PLC033314,Mr. Ashwini Mehra,2025-04-21,265000000.0,2025-04-18,-81
Issue of Auction Notice,,BASE CORPORATION LIMITED,U30007KA1987PLC023168,Mr. Konduru Prasanth Raju,2025-05-14,766913180.0,2025-05-09,-60
Issue of Auction Notice,,HALLMARK LIVING SPACE PRIVATE LIMITED,U45400TN2012PTC084362,Mr. S.Dhanapal,2025-05-09,680000000.0,2025-05-07,-62
Issue of Auction Notice,,AJS IMPEX PRIVATE LIMITED,U74900MH2006PTC161680,Mr. Birendra Kumar Agrawal,2025-05-13,322065235.0,2025-05-10,-59
Issue of Auction Notice,,Three Leaf Foods Private Limited,U15400MH2009PTC197070,Siddhant Agrawal,2025-05-16,16200000.0,2025-05-14,-55
Issue of Auction Notice,,KOHINOOR DIAMONDS PRIVATE LIMITED,U36911GJ1983PTC068551,Mukesh R. Dayani,2025-05-06,25000.0,2025-04-29,-70
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,34101000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,63351000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,106122000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,26021000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,104823000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,15852000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,9492000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,33554000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,5596000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,2266000.0,2025-05-13,-56
Issue of Auction Notice,,FREEWORLD EXPORTS PRIVATE LIMITED,U51420TN2004PTC052776,Mutharasapuram Ganesan Chandrasekaran,2025-05-15,428540000.0,2025-05-13,-56
Issue of Auction Notice,,KARUTURI CERMICS PRIVATE LIMITED,U26933AP2010PTC117739,Mr. Naga Bhushan Bhagawati,2025-05-12,248912500.0,2025-05-09,-60
